group,title,year,source_type,identifier,url,pdf_url,local_payload
Pose/motion embeddings,Pose Embeddings: A Deep Architecture for Learning to Match Human Poses,2015,arXiv,1507.00302,https://arxiv.org/abs/1507.00302,https://arxiv.org/pdf/1507.00302.pdf,URL file + manifest entry; PDF download script included
Pose/motion embeddings,View-Invariant Probabilistic Embedding for Human Pose,2019,arXiv,1912.01001,https://arxiv.org/abs/1912.01001,https://arxiv.org/pdf/1912.01001.pdf,URL file + manifest entry; PDF download script included
Pose/motion embeddings,"View-Invariant, Occlusion-Robust Probabilistic Embedding for Human Pose",2020,arXiv,2010.13321,https://arxiv.org/abs/2010.13321,https://arxiv.org/pdf/2010.13321.pdf,URL file + manifest entry; PDF download script included
Pose/motion embeddings,MotionBERT: A Unified Perspective on Learning Human Motion Representations,2022,arXiv,2210.06551,https://arxiv.org/abs/2210.06551,https://arxiv.org/pdf/2210.06551.pdf,URL file + manifest entry; PDF download script included
Pose/motion embeddings,MotionCLIP: Exposing Human Motion Generation to CLIP Space,2022,arXiv,2203.08063,https://arxiv.org/abs/2203.08063,https://arxiv.org/pdf/2203.08063.pdf,URL file + manifest entry; PDF download script included
Pose/motion embeddings,Text-to-Motion Retrieval: Towards Joint Understanding of Human Motion Data and Natural Language,2023,arXiv,2305.15842,https://arxiv.org/abs/2305.15842,https://arxiv.org/pdf/2305.15842.pdf,URL file + manifest entry; PDF download script included
Pose/motion embeddings,Tri-Modal Motion Retrieval by Learning a Joint Embedding Space,2024,arXiv,2403.00691,https://arxiv.org/abs/2403.00691,https://arxiv.org/pdf/2403.00691.pdf,URL file + manifest entry; PDF download script included
Pose/motion embeddings,A Cross-Dataset Study for Text-based 3D Human Motion Retrieval,2024,arXiv,2405.16909,https://arxiv.org/abs/2405.16909,https://arxiv.org/pdf/2405.16909.pdf,URL file + manifest entry; PDF download script included
Pose/motion embeddings,Multi-Modal Motion Retrieval by Learning a Fine-Grained Joint Embedding Space,2025,arXiv,2507.23188,https://arxiv.org/abs/2507.23188,https://arxiv.org/pdf/2507.23188.pdf,URL file + manifest entry; PDF download script included
Pose/motion embeddings,MoCHA: Denoising Caption Supervision for Motion-Text Retrieval,2026,arXiv,2603.23684,https://arxiv.org/abs/2603.23684,https://arxiv.org/pdf/2603.23684.pdf,URL file + manifest entry; PDF download script included
Skeleton/action architectures,Spatial Temporal Graph Convolutional Networks for Skeleton-Based Action Recognition,2018,arXiv,1801.07455,https://arxiv.org/abs/1801.07455,https://arxiv.org/pdf/1801.07455.pdf,URL file + manifest entry; PDF download script included
Skeleton/action architectures,Skeleton Spatial-Temporal Transformer / Spatial Temporal Transformer Network for Skeleton-based Action Recognition,2020,arXiv,2008.07404,https://arxiv.org/abs/2008.07404,https://arxiv.org/pdf/2008.07404.pdf,URL file + manifest entry; PDF download script included
Skeleton/action architectures,Spatial Temporal Transformer Network for Skeleton-based Action Recognition,2020,arXiv,2012.06399,https://arxiv.org/abs/2012.06399,https://arxiv.org/pdf/2012.06399.pdf,URL file + manifest entry; PDF download script included
